feature,python_max_score
TIMP.3,0.016
MK11,0.016
a2.Antiplasmin,0.016
ESAM,0.016
EDA,0.016
DKK1,0.016
Dkk.4,0.016
MUC1,0.016
Protein.S,0.016
Thrombopoietin.Receptor,0.016
Kallistatin,0.016
FST,0.016
LEG9,0.016
Coactosin.like.protein,0.016
KEAP1,0.016
Carbonic.Anhydrase.X,0.016
Ku70,0.016
IL.17B,0.016
Catalase,0.014
LAG.1,0.014
NID2,0.014
Factor.H,0.014
LIF.sR,0.014
Epo,0.014
NG36,0.014
ULBP.2,0.014
CYTD,0.014
PAFAH,0.014
Protein.C,0.014
HCE003183,0.014
MMP.3,0.014
FABPE,0.014
HMG.1,0.014
IL.17E,0.014
Eotaxin.2,0.014
C2,0.012
STK16,0.012
Annexin.V,0.012
CD63,0.012
WFKN1,0.012
YKL.40,0.012
IL.8,0.012
TNF.a,0.012
CRTAM,0.012
CDON,0.012
Coagulation.Factor.V,0.012
IDS,0.012
Aggrecan,0.012
C1QBP,0.012
FSTL1,0.012
C3adesArg,0.012
Osteopontin,0.012
Peroxiredoxin.5,0.012
CDK2.cyclin.A,0.012
eIF.5,0.012
ABL1,0.012
ALK.1,0.012
SPARCL1,0.012
sFRP.3,0.012
TrkA,0.012
Adiponectin,0.012
Cadherin.E,0.012
MBD4,0.012
CRP,0.012
RSPO4,0.012
cGMP.stimulated.PDE,0.012
HVEM,0.01
NADPH.P450.Oxidoreductase,0.01
Caspase.10,0.01
NUDC3,0.01
Coagulation.Factor.X,0.01
Corticotropin.lipotropin,0.01
IgE,0.01
ATPO,0.01
Ferritin,0.01
FGF.6,0.01
IL.20.Ra,0.01
DPP2,0.01
MASP3,0.01
LSAMP,0.01
FGF.8A,0.01
FGF.12,0.01
FGF.17,0.01
ECM1,0.01
IL.1.sRI,0.01
ICOS,0.01
FCG2B,0.01
GFRa.2,0.01
M.CSF.R,0.01
PSA2,0.01
SARP.2,0.01
Apo.E,0.01
Cripto,0.01
CKAP2,0.01
Myokinase..human,0.01
BFL1,0.008
FN1.3,0.008
CD59,0.008
MMP.10,0.008
CATF,0.008
MDHC,0.008
PPAC,0.008
SNP25,0.008
C5b..6.Complex,0.008
IL.3.Ra,0.008
RS3,0.008
HDAC8,0.008
TBP,0.008
PTHrP,0.008
X3HAO,0.008
FGFR4,0.008
FCG2A,0.008
FCAR,0.008
TSP4,0.008
IL24,0.008
Ck.b.8.1,0.008
Epithelial.cell.kinase,0.008
Calpastatin,0.008
PSA,0.008
PGP9.5,0.008
Desmoglein.1,0.008
transcription.factor.MLR1..isoform.CRA_b,0.008
CD97,0.008
IGFBP.4,0.008
X6Ckine,0.008
Secretin,0.008
PHI,0.008
Esterase.D,0.008
Eotaxin,0.008
a.Synuclein,0.008
P.Cadherin,0.008
RBM39,0.008
DSC3,0.008
Transferrin,0.008
ANGL3,0.008
C1r,0.008
EFNB1,0.008
IL.10.Ra,0.008
MMP.8,0.008
UBP25,0.008
PIAS4,0.008
ARSB,0.006
Laminin,0.006
Cadherin.2,0.006
FAM3D,0.006
RNase.H1,0.006
FGF.19,0.006
Glypican.3,0.006
C1QR1,0.006
calreticulin,0.006
Semaphorin.3A,0.006
Cathepsin.D,0.006
PAPP.A,0.006
URB,0.006
Thrombospondin.1,0.006
kallikrein.8,0.006
KI3S1,0.006
CCL28,0.006
RAD51,0.006
SCGF.alpha,0.006
Ficolin.3,0.006
IL.1.R.AcP,0.006
Cystatin.S,0.006
IL.4.sR,0.006
CTLA.4,0.006
ERAB,0.006
LIN7B,0.006
a2.Macroglobulin,0.006
ADAMTS.5,0.006
I.TAC,0.006
Heparin.cofactor.II,0.006
Chk2,0.006
Carbonic.anhydrase.VII,0.006
PK3CG,0.006
IL.13,0.006
Renin,0.006
BSP,0.006
Cathepsin.B,0.006
Afamin,0.006
LY86,0.006
GNS,0.006
SOD3,0.006
EPHAA,0.006
C5a,0.006
Fractalkine.CX3CL.1,0.006
kallikrein.5,0.006
SCGF.beta,0.006
Lymphotoxin.a2.b1,0.006
Cadherin.6,0.006
GREM1,0.006
RANTES,0.006
PKC.G,0.006
RASA1,0.006
p53,0.006
Ubiquitin,0.006
sE.Selectin,0.006
UB2G2,0.006
NKp44,0.006
Semaphorin.3E,0.006
ATP.synthase.beta.chain,0.006
D.dimer,0.006
IL.15.Ra,0.006
Arylsulfatase.A,0.006
MIP.5,0.006
EphA1,0.006
Clusterin,0.006
TGF.b.R.II,0.006
FTCD,0.004
NEUREGULIN.1,0.004
GOT1,0.004
sLRP1,0.004
c.Jun,0.004
HB.EGF,0.004
SECTM1,0.004
Coagulation.Factor.VII,0.004
PDE4D,0.004
BRF.1,0.004
IL.1.sRII,0.004
PLCG1,0.004
CAMK1D,0.004
IL.6,0.004
SORC2,0.004
NKG2D,0.004
Olfactomedin.4,0.004
HCC.1,0.004
CD36.ANTIGEN,0.004
SAA,0.004
IMDH2,0.004
CK2.A2.B,0.004
HIV.2.Rev,0.004
PTH,0.004
IFN10,0.004
ZNRF3,0.004
CLF.1.CLC.Complex,0.004
Apo.A.I,0.004
BCMA,0.004
IL.1a,0.004
IGFBP.2,0.004
TrkB,0.004
TrATPase,0.004
MMP.1,0.004
BGH3,0.004
tPA,0.004
Endocan,0.004
Angiostatin,0.004
Albumin,0.004
CD48,0.004
complement.factor.H.related.5,0.004
TXD12,0.004
JAK2,0.004
MYPC1,0.004
FN1.4,0.004
GCP.2,0.004
X14.3.3E,0.004
JAM.B,0.004
Adrenomedullin,0.004
LEAP.1,0.004
CREL1,0.004
Apo.B,0.004
COMMD7,0.004
HPG.,0.004
TRAIL.R4,0.004
NXPH1,0.004
TAFI,0.004
Cytochrome.c,0.004
Midkine,0.004
Tropomyosin.2,0.004
NCAM.120,0.004
ERBB4,0.004
IL.13.Ra1,0.004
a1.Antichymotrypsin,0.004
CNTF,0.004
PIANP,0.004
Gastrin.releasing.peptide,0.004
MIG,0.004
Carbonic.anhydrase.I,0.004
VEGF.sR3,0.004
SGTA,0.004
ERBB1,0.004
PSA1,0.004
CaMKK.alpha,0.004
FGF.4,0.004
Phosphoglycerate.mutase.1,0.002
ING1,0.002
MICA,0.002
Coagulation.Factor.IXab,0.002
Apo.E2,0.002
annexin.VI,0.002
HGF,0.002
iC3b,0.002
PF.4,0.002
IL.12,0.002
IFN.a.b.R1,0.002
CD70,0.002
IFN.g.R1,0.002
Noggin,0.002
kallikrein.12,0.002
MEPE,0.002
Nidogen,0.002
HSP.70,0.002
Dynactin.subunit.2,0.002
WISP.3,0.002
ZAP70,0.002
C3b,0.002
LCK,0.002
Periostin,0.002
Kininogen..HMW,0.002
GAS1,0.002
IL.17.RC,0.002
C7,0.002
KI3L2,0.002
NKp46,0.002
Nogo.Receptor,0.002
XPNPEP1,0.002
DnaJ.homolog,0.002
Fucosyltransferase.3,0.002
MED.1,0.002
RBP,0.002
RS3A,0.002
H2A3,0.002
H31,0.002
IFN.g,0.002
IL.1F8,0.002
UCRP,0.002
LRRT3,0.002
ST4S6,0.002
TGM3,0.002
PolyUbiquitin.K48,0.002
NET1,0.002
CATE,0.002
Chitotriosidase.1,0.002
CLC7A,0.002
CHST2,0.002
Cathepsin.V,0.002
IL.17.sR,0.002
IL.4,0.002
MPIF.1,0.002
ER,0.002
CLM6,0.002
EphB6,0.002
IL.7.Ra,0.002
Hat1,0.002
MOZ,0.002
MMP.17,0.002
NRX3B,0.002
SREC.II,0.002
Activin.RIB,0.002
RNF43,0.002
Angiopoietin.4,0.002
Peroxiredoxin.6,0.002
Galectin.4,0.002
FUT5,0.002
IL.34,0.002
KIRR3,0.002
TPSG1,0.002
PPIB,0.002
BAFF,0.002
Aminoacylase.1,0.002
CRDL1,0.002
Cytidylate.kinase,0.002
Ephrin.A5,0.002
IFN.b,0.002
PSME3,0.002
CK2.A1.B,0.002
IGFBP.1,0.002
IL.17F,0.002
LD78.beta,0.002
Cyclophilin.F,0.002
CYTT,0.002
DAPK2,0.002
DYRK3,0.002
IL22RA1,0.002
Macrophage.mannose.receptor,0.002
CAD15,0.002
RANK,0.002
CYTN,0.002
BMP.14,0.002
N.terminal.pro.BNP,0.002
FLRT2,0.002
ghrelin,0.002
Coagulation.Factor.IX,0.002
GFRa.3,0.002
LG3BP,0.002
Mn.SOD,0.002
CO8A1,0.002
IGFBP.7,0.002
TFPI,0.002
Haptoglobin..Mixed.Type,0.002
MFRP,0.002
UNC5H4,0.002
K.ras,0.002
CK.BB,0.002
FGF23,0.002
KPCT,0.002
PYY,0.002
STX1a,0.002
XEDAR,0.002
IL.2.sRa,0.002
Siglec.3,0.002
Coagulation.Factor.Xa,0.002
IL.19,0.002
IL.1b,0.002
resistin,0.002
C4b,0.002
Coagulation.Factor.XI,0.002
FCGR1,0.002
paraoxonase.1,0.002
PESC,0.002
ETHE1,0.002
DRR1,0.002
FGF.20,0.002
TYK2,0.002
ABL2,0.002
MMP.16,0.002
GHC2,0.002
CNTFR.alpha,0.002
EMAP.2,0.002
MCP.4,0.002
MATK,0.002
PDGF.CC,0.002
Ephrin.B3,0.002
C3d,0.002
GPVI,0.002
Lysozyme,0.002
SHBG,0.002
AGR2,0.002
X6.Phosphogluconate.dehydrogenase,0.002
Carbonic.anhydrase.9,0.002
SOST,0.002
IgA,0.002
LPPL,0.002
PDXK,0.002
HSP.27,0.002
Granzyme.B,0.002
PIM1,0.002
Apo.L1,0.002
ASAHL,0.002
FABPL,0.002
IRF1,0.002
Apoptosis.regulator.Bcl.W,0.0
PSP,0.0
RSPO3,0.0
S100A6,0.0
HIF.1a,0.0
BTC,0.0
GDF.11,0.0
CgA,0.0
Cathepsin.H,0.0
HGH,0.0
BMP.6,0.0
PACAP.38,0.0
PACAP.27,0.0
HXK1,0.0
HXK2,0.0
LDLR,0.0
SE6L2,0.0
SBDS,0.0
RSK.like.protein.kinase,0.0
RS7,0.0
PSA6,0.0
Peroxiredoxin.1,0.0
NACA,0.0
HSP.40,0.0
IL.17D,0.0
C6,0.0
BPI,0.0
UBE2N,0.0
Sorting.nexin.4,0.0
SKP1,0.0
PSD7,0.0
PLPP,0.0
PTK6,0.0
pTEN,0.0
PAK6,0.0
MK08,0.0
MAPK5,0.0
MAPK2,0.0
Tenascin,0.0
alpha.1.antichymotrypsin.complex,0.0
Prekallikrein,0.0
Plasmin,0.0
PDGF.BB,0.0
Neurotrophin.5,0.0
Lymphotactin,0.0
ARI3A,0.0
UB2L3,0.0
TCTP,0.0
EphA5,0.0
Carbonic.anhydrase.III,0.0
DRG.1,0.0
Cofilin.1,0.0
AK1A1,0.0
Aflatoxin.B1.aldehyde.reductase,0.0
X4EBP2,0.0
X14.3.3,0.0
Thrombin,0.0
TGF.b2,0.0
GAPDH..liver,0.0
DLRB1,0.0
Cyclophilin.A,0.0
AIP,0.0
UFM1,0.0
TLR2,0.0
TNR4,0.0
p27Kip1,0.0
PA2G4,0.0
NSF1C,0.0
NDP.kinase.B,0.0
NCAM.L1,0.0
M2.PK,0.0
LCMT1,0.0
IGF.I.sR,0.0
IF4G2,0.0
FER,0.0
EP15R,0.0
FYN,0.0
FGR,0.0
FGFR.3,0.0
FGFR.2,0.0
BMPER,0.0
TEC,0.0
Soggy.1,0.0
SLIK1,0.0
SLAF5,0.0
Triosephosphate.isomerase,0.0
Transketolase,0.0
Spondin.1,0.0
Sphingosine.kinase.1,0.0
SNAA,0.0
RAN,0.0
Protein.disulfide.isomerase,0.0
prostatic.binding.protein,0.0
COX.2,0.0
Activated.Protein.C,0.0
CSF.1,0.0
OCAD1,0.0
OBCAM,0.0
MRCKB,0.0
MMEL2,0.0
Marapsin,0.0
FGF.16,0.0
DHH,0.0
CLC1B,0.0
BOC,0.0
AMNLS,0.0
PTP.1C,0.0
XTP3A,0.0
kallikrein.14,0.0
IGF.II.receptor,0.0
Calcineurin.B.a,0.0
Cadherin.12,0.0
MDC,0.0
Lymphotoxin.a1.b2,0.0
hnRNP.A.B,0.0
FCRL3,0.0
ENTP5,0.0
ENTP3,0.0
ENPP7,0.0
CHST6,0.0
BCL2.like.1.protein,0.0
MSP,0.0
IFN.lambda.2,0.0
IFN.lambda.1,0.0
DKK3,0.0
Caspase.3,0.0
CAMK1,0.0
BASI,0.0
LYN,0.0
Kallikrein.6,0.0
C4,0.0
SPHK2,0.0
Sialoadhesin,0.0
PDPK1,0.0
PCSK7,0.0
MFGM,0.0
LRRT1,0.0
Integrin.a1b1,0.0
b.ECGF,0.0
DUS3,0.0
TRY3,0.0
Vasoactive.Intestinal.Peptide,0.0
TGF.b3,0.0
Proteinase.3,0.0
HIPK3,0.0
GSK.3.alpha.beta,0.0
Flt.3,0.0
EPHA3,0.0
CSK21,0.0
Chymase,0.0
Carbonic.anhydrase.XIII,0.0
CAMK2D,0.0
CBX5,0.0
PDGF.AA,0.0
IL.11,0.0
FGF7,0.0
RPS6KA3,0.0
PRKACA,0.0
PGCB,0.0
PDGF.Rb,0.0
RSPO2,0.0
BTK,0.0
BMX,0.0
Bcl.2,0.0
UFC1,0.0
STAB2,0.0
SHP.2,0.0
PLK.1,0.0
PKB.a.b.g,0.0
Livin.B,0.0
KYNU,0.0
HDGR2,0.0
FLRT1,0.0
EMR2,0.0
CTAP.III,0.0
CONA1,0.0
AURKB,0.0
PIK3CA.PIK3R1,0.0
PCI,0.0
LYNB,0.0
KPCI,0.0
IL.17.RD,0.0
Granzyme.H,0.0
FETUB,0.0
CSK,0.0
TFF3,0.0
IL.3,0.0
Apo.D,0.0
X17.beta.HSD.1,0.0
X41,0.0
TNF.b,0.0
GM.CSF,0.0
Nectin.like.protein.2,0.0
MATN2,0.0
LRP8,0.0
LRIG3,0.0
HTRA2,0.0
TRAIL.R1,0.0
STRATIFIN,0.0
ITI.heavy.chain.H4,0.0
CBG,0.0
FAM107B,0.0
ASM3A,0.0
CDK8.cyclin.C,0.0
Carbonic.anhydrase.6,0.0
CAMK2B,0.0
CAMK2A,0.0
BARK1,0.0
CD23,0.0
CD109,0.0
WFKN2,0.0
ACTH,0.0
WNT7A,0.0
BMP.RII,0.0
BMPR1A,0.0
G.CSF,0.0
FCG3B,0.0
DLL4,0.0
Contactin.4,0.0
CNTN2,0.0
CFC1,0.0
RGM.C,0.0
RGMB,0.0
PGRP.S,0.0
ATS1,0.0
amyloid.precursor.protein,0.0
Integrin.aVb5,0.0
IgD,0.0
Hemoglobin,0.0
HCC.4,0.0
Glutathione.S.transferase.Pi,0.0
GIB,0.0
Galectin.8,0.0
Endoglin,0.0
Caspase.2,0.0
Calcineurin,0.0
METAP1,0.0
MATN3,0.0
LKHA4,0.0
KREM2,0.0
sCD4,0.0
VEGF.C,0.0
SMAC,0.0
MK01,0.0
Aurora.kinase.A,0.0
ARTS1,0.0
ARP19,0.0
ARMEL,0.0
X40S.ribosomal.protein.SA,0.0
Stanniocalcin.1,0.0
MIP.3b,0.0
Glutamate.carboxypeptidase,0.0
Enterokinase,0.0
CRIS3,0.0
CD39,0.0
Carbonic.Anhydrase.IV,0.0
Galectin.2,0.0
IL.18.BPa,0.0
IL.2,0.0
IgM,0.0
GDF.9,0.0
FGF.5,0.0
C9,0.0
WISP.1,0.0
FAK1,0.0
DBNL,0.0
CRK,0.0
CATZ,0.0
carbonic.anhydrase.II,0.0
AMPM2,0.0
IDUA,0.0
TNF.sR.II,0.0
MK12,0.0
DC.SIGN,0.0
TSLP,0.0
TGF.b.R.III,0.0
PTP.1B,0.0
PD.L2,0.0
MMP.14,0.0
IF4A3,0.0
hnRNP.K,0.0
GSTA3,0.0
Flt3.ligand,0.0
Fas.ligand..soluble,0.0
ON,0.0
Myoglobin,0.0
MRC2,0.0
GFAP,0.0
IL.1Rrp2,0.0
IL.18.Rb,0.0
Histone.H1.2,0.0
Gro.b.g,0.0
Gro.a,0.0
ENA.78,0.0
EDAR,0.0
PPase,0.0
phosphoglycerate.kinase.1,0.0
PARK7,0.0
NCK1,0.0
NCC27,0.0
PBEF,0.0
Moesin,0.0
MAPK14,0.0
MK13,0.0
AREG,0.0
VCAM.1,0.0
Properdin,0.0
Luteinizing.hormone,0.0
IGF.I,0.0
GX,0.0
CD244,0.0
B7.H2,0.0
B7.H1,0.0
TSG.6,0.0
TS,0.0
Tropomyosin.1.alpha.chain,0.0
SIRT2,0.0
SEPR,0.0
sCD163,0.0
JAM.C,0.0
Topoisomerase.I,0.0
RAC1,0.0
PKC.D,0.0
MEK1,0.0
Karyopherin.a2,0.0
IL.17B.R,0.0
EPHB2,0.0
DcR3,0.0
DAF,0.0
CD83,0.0
Factor.D,0.0
Cytochrome.P450.3A4,0.0
Apo.E4,0.0
PCNA,0.0
CD22,0.0
BMP.7,0.0
ERK.1,0.0
CHK1,0.0
AIF1,0.0
WIF.1,0.0
Ubiquitin.1,0.0
Lipocalin.2,0.0
MICB,0.0
LIMP.II,0.0
KLRF1,0.0
KI2L4,0.0
